input1 input2
0.977372 2.246329
1.740275 3.067915
3.808668 1.466048
2.999562 2.589499
3.856979 2.923534
1.579080 1.644578
2.418374 2.953568
3.785448 1.288029
0.928238 0.000197
0.400687 1.151265
2.366007 2.701569
1.495147 3.757580
0.124401 1.392312
1.829706 2.224236
3.444929 2.650139
1.484644 1.135522
1.838745 0.752734
0.361792 0.235778
2.517925 2.674456
1.852687 0.191866
2.346936 0.645481
1.978253 1.090989
2.219044 1.584063
2.954935 0.439031
0.436144 2.347158
3.632880 0.546502
1.897909 0.997444
0.358101 0.460921
1.669445 3.511127
3.149263 1.147585
0.797808 1.933813
2.207312 3.046186
1.266515 2.779431
2.000439 2.830798
3.173565 1.808629
0.058119 0.200582
0.107672 1.079484
3.419544 2.080145
2.805216 0.925740
0.515051 0.197366
1.550494 3.153108
3.637068 0.174998
0.884603 1.299010
0.699233 0.093107
0.489197 0.268647
0.354503 1.667694
0.108799 2.090550
1.435561 2.332603
2.904232 0.513247
2.218191 0.249026
2.438796 1.308319
0.249134 1.442376
0.258327 1.730081
2.523486 1.132042
0.483693 2.914632
2.669438 3.904175
2.587000 2.911048
2.411223 1.741896
0.969505 1.951024
2.237774 3.185760
0.013870 2.759820
1.934808 2.642541
0.811022 3.357400
0.097441 0.586291
3.026094 0.622971
2.523026 0.772398
1.968766 1.971855
1.620859 2.131065
1.208611 2.024230
2.215269 1.000108
2.886343 3.793628
0.039052 1.881842
2.877701 1.413656
2.089773 0.906189
3.310365 2.243875
2.741371 0.611877
3.667664 3.092608
3.207163 3.243106
0.936845 2.332519
0.549589 2.893521
3.144995 0.033180
2.767432 0.530827
0.565422 2.343036
0.535673 0.484029
1.572464 1.453404
3.332177 0.187165
3.295397 1.059401
2.079696 1.424650
0.121048 2.164155
2.361390 2.247714
1.794278 1.870594
0.093679 1.676833
0.893230 2.657311
0.855458 0.884911
0.910586 0.294653
2.461051 1.266798
0.758188 1.414485
2.265005 3.164765
1.871746 1.549234
0.147971 2.733599
2.366246 0.060447
0.432983 3.827661
2.036289 2.974368
1.957885 2.824482
2.007547 0.296820
2.598872 1.590342
0.488831 0.984891
1.752402 3.534520
0.640380 2.811192
1.094310 0.519425
0.761619 0.319330
1.419336 1.614644
1.971829 3.100812
2.815805 1.171121
2.986610 1.680717
2.493468 1.700513
0.968382 2.542482
2.729596 2.098535
0.895188 1.137786
3.799569 3.300738
1.353212 1.551575
0.832707 3.851893
3.943465 1.148033
1.099460 1.778900
0.038078 3.281884
0.543635 0.644144
0.393919 0.754358
1.931660 1.158724
3.896829 3.512792
0.745020 1.893983
3.019835 2.484746
2.655520 1.062917
0.478242 2.751055
0.837902 0.278091
2.510711 1.196071
0.702489 1.115370
3.786892 2.189645
3.245009 3.684871
2.102436 2.250991
1.199141 2.749264
0.404225 1.711355
0.252300 0.064894
2.701840 0.632165
1.255073 3.649279
0.233823 1.890096
2.228040 3.804131
0.886004 0.924855
1.806989 1.571398
3.590914 3.612049
3.517815 1.003283
1.216300 1.730439
2.381737 1.238911
0.210223 0.170082
2.578268 1.227465
0.266852 3.175604
3.832591 1.628154
0.209192 0.843898
